tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan,Rider age,Trip length (minutes),Route name
378,6/12/2015 18:21:00,6/12/2015 18:27:00,448,W 37 St & 10 Ave,40.75660359,-73.9979009,529,W 42 St & 8 Ave,40.7575699,-73.99098507,19392,Subscriber,1952,unknown,,67,6.3,W 37 St & 10 Ave to W 42 St & 8 Ave
381,12/11/2017 16:59:10,12/11/2017 17:05:31,229,Great Jones St,40.72743423,-73.99379025,531,Forsyth St & Broome St,40.71893904,-73.99266288,32545,Subscriber,1996,male,,23,6.35,Great Jones St to Forsyth St & Broome St
1485,11/18/2015 7:34:43,11/18/2015 7:59:29,3140,1 Ave & E 78 St,40.77140426,-73.9535166,515,W 43 St & 10 Ave,40.76009437,-73.99461843,18472,Subscriber,1950,male,,69,24.75,1 Ave & E 78 St to W 43 St & 10 Ave
997,6/30/2017 21:16:34,6/30/2017 21:33:12,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,29695,Subscriber,1997,male,,22,16.6166666666667,Baltic St & 5 Ave to Lafayette Ave & Classon Ave
290,7/12/2016 8:20:22,7/12/2016 8:25:12,263,Elizabeth St & Hester St,40.7175908180598,-73.9962244033814,330,Reade St & Broadway,40.71450451,-74.00562789,15842,Subscriber,1997,female,,22,4.83333333333333,Elizabeth St & Hester St to Reade St & Broadway
194,4/29/2016 8:41:17,4/29/2016 8:44:32,3016,Kent Ave & N 7 St,40.7203677529846,-73.9616507291794,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,17041,Subscriber,1950,female,,69,3.23333333333333,Kent Ave & N 7 St to N 6 St & Bedford Ave
729,6/20/2014 7:25:49,6/20/2014 7:37:58,147,Greenwich St & Warren St,40.71542197,-74.01121978,295,Pike St & E Broadway,40.71406667,-73.99293911,15085,Subscriber,1943,male,,76,12.15,Greenwich St & Warren St to Pike St & E Broadway
91,6/22/2017 23:58:02,6/22/2017 23:59:34,376,John St & William St,40.70862144,-74.00722156,351,Front St & Maiden Ln,40.70530954,-74.00612572,29632,Subscriber,1999,male,,20,1.51666666666667,John St & William St to Front St & Maiden Ln
1563,12/22/2015 18:17:59,12/22/2015 18:44:02,250,Lafayette St & Jersey St,40.72456089,-73.99565293,518,E 39 St & 2 Ave,40.74780373,-73.9734419,23013,Subscriber,1949,male,,70,26.05,Lafayette St & Jersey St to E 39 St & 2 Ave
2135,5/2/2018 8:30:23,5/2/2018 9:05:59,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,465,Broadway & W 41 St,40.75513557,-73.98658032,30651,Subscriber,1945,male,,74,35.5833333333333,Riverside Dr & W 82 St to Broadway & W 41 St
451,8/23/2014 17:27:58,8/23/2014 17:35:29,510,W 51 St & 6 Ave,40.7606597,-73.98042047,533,Broadway & W 39 St,40.75299641,-73.98721619,15883,Subscriber,1951,male,,68,7.51666666666667,W 51 St & 6 Ave to Broadway & W 39 St
979,7/7/2017 16:56:32,7/7/2017 17:12:52,3163,Central Park West & W 68 St,40.7734066,-73.97782542,3294,E 91 St & Park Ave,40.7835016,-73.955327,26043,Subscriber,1948,male,,71,16.3166666666667,Central Park West & W 68 St to E 91 St & Park Ave
414,8/27/2017 11:35:12,8/27/2017 11:42:07,3326,Clinton St & Centre St,40.67434,-74.00194698,3384,Smith St & 3 St,40.6787242,-73.99599099,25691,Subscriber,2001,female,,18,6.9,Clinton St & Centre St to Smith St & 3 St
243,7/19/2013 19:11:21,7/19/2013 19:15:24,320,Church St & Leonard St,40.71743998,-74.00583475,319,Park Pl & Church St,40.71336124,-74.00937622,18560,Subscriber,1950,male,,69,4.05,Church St & Leonard St to Park Pl & Church St
839,8/2/2013 9:24:53,8/2/2013 9:38:52,168,W 18 St & 6 Ave,40.73971301,-73.99456405,517,Pershing Square S,40.75149263,-73.97798848,17780,Subscriber,1952,male,,67,13.9833333333333,W 18 St & 6 Ave to Pershing Square S
264,9/20/2016 13:04:45,9/20/2016 13:09:10,3288,E 88 St & 1 Ave,40.778301,-73.9488134,3140,1 Ave & E 78 St,40.77140426,-73.9535166,20951,Subscriber,1999,male,,20,4.4,E 88 St & 1 Ave to 1 Ave & E 78 St
2130,12/29/2017 21:33:06,12/29/2017 22:08:36,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,326,E 11 St & 1 Ave,40.72953837,-73.98426726,28499,Subscriber,1997,male,,22,35.5,S 4 St & Wythe Ave to E 11 St & 1 Ave
509,5/5/2017 18:51:43,5/5/2017 19:00:12,402,Broadway & E 22 St,40.7403432,-73.98955109,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17901,Subscriber,2001,male,,18,8.48333333333333,Broadway & E 22 St to Sullivan St & Washington Sq
266,11/8/2017 18:47:49,11/8/2017 18:52:16,432,E 7 St & Avenue A,40.72621788,-73.98379855,483,E 12 St & 3 Ave,40.73223272,-73.98889957,19736,Subscriber,1999,male,,20,4.43333333333333,E 7 St & Avenue A to E 12 St & 3 Ave
